Equipo,Jugador,Tipo de Incidencia,Estado,Detalle
Alavés,Facundo Garcés,Física / Médica,Baja,Rotura de ligamento cruzado. Baja indefinida.
Alavés,Benavídez Protesoni,Física / Médica,Baja,Molestias. Baja esta jornada.
Alavés,Mikel Rodríguez,Física / Médica,Baja,Rotura de ligamento cruzado. Baja hasta Abril.
Alavés,Aitor Mañas,Física / Médica,Baja,Traumatismo craneoencefálico. Baja esta jornada.
Athletic Club,Daniel Vivian,Física / Médica,Baja,Lesión en el aductor. Baja hasta Octubre.
Athletic Club,Unai Egiluz,Física / Médica,Baja,Rotura de ligamento cruzado. Baja hasta Enero.
Athletic Club,Peio Canales,Física / Médica,Baja,Lesión en el sóleo. Baja esta jornada.
Athletic Club,Selton Sánchez,Física / Médica,Baja,No convocado. Baja esta jornada.
Athletic Club,Asier Hierro,Física / Médica,Baja,No convocado. Baja esta jornada.
Atlético de Madrid,Pablo Barrios,Física / Médica,Baja,Lesión en el sóleo. Baja esta jornada.
Atlético de Madrid,Julián Álvarez,Física / Médica,Baja,Sobrecarga. Baja esta jornada.
Atlético de Madrid,Alexander Sørloth,Física / Médica,Baja,Contractura muscular. Baja esta jornada.
FC Barcelona,Joan García,Física / Médica,Baja,Molestias. Baja hasta finales de Septiembre.
FC Barcelona,Frenkie de Jong,Física / Médica,Baja,Lesión de rodilla. Baja hasta Noviembre.
FC Barcelona,Bardghji,Física / Médica,Baja,Rotura de ligamento cruzado. Baja hasta Marzo.
FC Barcelona,Bisiwu,Física / Médica,Baja,Parte médico oficial en revisión.
Celta de Vigo,Sin bajas,Ninguna,Disponible,Plantilla limpia y lista para la jornada.
Espanyol,Sin bajas,Ninguna,Disponible,Plantilla limpia y lista para la jornada.
Getafe,Sin bajas,Ninguna,Disponible,Plantilla limpia y lista para la jornada.
Girona,Sin bajas,Ninguna,Disponible,Plantilla limpia y lista para la jornada.
Las Palmas,Sin bajas,Ninguna,Disponible,Plantilla limpia y lista para la jornada.
Leganés,Sin bajas,Ninguna,Disponible,Plantilla limpia y lista para la jornada.
Mallorca,Sin bajas,Ninguna,Disponible,Plantilla limpia y lista para la jornada.
Osasuna,Sin bajas,Ninguna,Disponible,Plantilla limpia y lista para la jornada.
Rayo Vallecano,Sin bajas,Ninguna,Disponible,Plantilla limpia y lista para la jornada.
Real Betis,Sin bajas,Ninguna,Disponible,Plantilla limpia y lista para la jornada.
Real Madrid,Sin bajas,Ninguna,Disponible,Plantilla limpia y lista para la jornada.
Real Sociedad,Sin bajas,Ninguna,Disponible,Plantilla limpia y lista para la jornada.
Sevilla FC,Sin bajas,Ninguna,Disponible,Plantilla limpia y lista para la jornada.
Valencia,Sin bajas,Ninguna,Disponible,Plantilla limpia y lista para la jornada.
Valladolid,Sin bajas,Ninguna,Disponible,Plantilla limpia y lista para la jornada.
Villarreal,Sin bajas,Ninguna,Disponible,Plantilla limpia y lista para la jornada.
